region_number,success_count,best_episode_reward,mastered,active
1,11,2853.018311,1,0
2,33,2160.415039,1,0
3,9,1992.707153,1,0
4,9,3092.954102,1,0
5,15,2029.523926,1,0
6,11,1217.998779,1,0
7,13,4702.588867,1,0
8,37,984.266479,1,0
9,1593,6643.115234,1,1
