checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_stage4_time_pressure,mean_stage3_time_preserve,mean_terminal_success_quality,mean_near_terminal_reward,mean_pregrasp_line_error,min_distance,mean_reward,path
model_1600.pt,1600,1600,1600,0.01416015625,0.943359375,0.846435546875,0.206787109375,0.3857421875,0.9453125,0.353515625,0.3857421875,0.3857421875,0.943359375,0.3740234375,0.370849609375,0.01416015625,0.037841796875,0.10843777656555176,0.08249342441558838,0.08249342441558838,0.04778561741113663,0.03905341029167175,0.06905341148376465,0.037210967391729355,0.8360608816146851,0.8360608816146851,0.8360608816146851,0.0,0.9453125,0.788769543170929,0.5662705302238464,0.5489143133163452,0.0028775944374501705,0.6603312492370605,0.00024703340022824705,0.0439453125,0.616070032119751,0.13307860493659973,0.07492419332265854,0.0,0.034814152866601944,1.3482456040492252e-08,0.03765121102333069,1718.01025390625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-18-24/model_1600.pt
model_1650.pt,1650,1650,1650,0.00048828125,0.98828125,0.813232421875,0.18505859375,0.708740234375,0.926513671875,0.64013671875,0.708740234375,0.708740234375,0.98828125,0.67626953125,0.67626953125,0.00048828125,0.0673828125,0.10544483363628387,0.07933202385902405,0.07933202385902405,0.04748766869306564,0.036655597388744354,0.06665559858083725,0.041876163333654404,0.8813365697860718,0.8813365697860718,0.8813365697860718,0.0,0.9837599396705627,0.7926852703094482,0.5701698064804077,0.5977721810340881,0.0003240089281462133,0.32903409004211426,2.3033459001453593e-05,0.00341796875,0.5349075198173523,0.3412703275680542,0.15521104633808136,0.0,0.01587524078786373,1.2707742413908818e-08,0.04178199917078018,13112.4970703125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-18-24/model_1650.pt
model_1700.pt,1700,1700,1700,0.000732421875,0.97216796875,0.79296875,0.1533203125,0.763916015625,0.9560546875,0.69873046875,0.763916015625,0.763916015625,0.97216796875,0.743408203125,0.743408203125,0.000732421875,0.100830078125,0.10802106559276581,0.08182395994663239,0.08182395994663239,0.04828595370054245,0.03728105127811432,0.06728105247020721,0.042430948466062546,0.8866119384765625,0.8866119384765625,0.8866119384765625,0.0,0.9668697118759155,0.8036113977432251,0.5780118703842163,0.6077350378036499,0.0006936679128557444,0.27569472789764404,3.7290610634954646e-05,0.007080078125,0.5518238544464111,0.38192301988601685,0.18088313937187195,0.0,0.048156917095184326,1.3329502834835694e-08,0.04463193193078041,12643.2373046875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-18-24/model_1700.pt
model_1750.pt,1750,1750,1750,0.000244140625,0.990966796875,0.865478515625,0.223388671875,0.851806640625,0.990966796875,0.782958984375,0.851806640625,0.851806640625,0.990966796875,0.8388671875,0.8388671875,0.000244140625,0.14306640625,0.09954971075057983,0.07210318744182587,0.07210318744182587,0.037734292447566986,0.02729586698114872,0.057295866310596466,0.0327751487493515,0.8916221857070923,0.8916221857070923,0.8916221857070923,0.0,0.990966796875,0.8141030073165894,0.5843518376350403,0.655449628829956,0.0005573546513915062,0.19436779618263245,3.325380021124147e-05,0.005859375,0.5786100029945374,0.43464195728302,0.1775972545146942,0.0,0.027059059590101242,1.2963072393290531e-08,0.044547971338033676,14096.2734375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-18-24/model_1750.pt
model_1800.pt,1800,1800,1800,0.000244140625,1.0,0.930419921875,0.240234375,0.812744140625,0.994873046875,0.79736328125,0.812744140625,0.812744140625,1.0,0.804931640625,0.799072265625,0.000244140625,0.029296875,0.09625139832496643,0.06880313158035278,0.06880313158035278,0.03658609092235565,0.02725106105208397,0.057251062244176865,0.031419891864061356,0.8912537693977356,0.8912537693977356,0.8912537693977356,0.0,0.9999752640724182,0.7863487005233765,0.5639736652374268,0.6253505349159241,0.0004326820489950478,0.2308349907398224,2.3412663722410798e-05,0.004150390625,0.5840018391609192,0.40656575560569763,0.1812017560005188,0.0,0.019472965970635414,1.344952504922503e-08,0.04346895590424538,16848.271484375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-18-24/model_1800.pt
model_1850.pt,1850,1850,1850,0.000244140625,0.98828125,0.881591796875,0.244140625,0.757080078125,0.9814453125,0.723876953125,0.757080078125,0.757080078125,0.98828125,0.74658203125,0.7451171875,0.000244140625,0.078857421875,0.10041122138500214,0.07336142659187317,0.07336142659187317,0.04067321866750717,0.030777953565120697,0.060777951031923294,0.035135313868522644,0.8977252244949341,0.8977252244949341,0.8977252244949341,0.0,0.9846095442771912,0.7921767234802246,0.5683602690696716,0.6363160610198975,0.0005990220233798027,0.28353798389434814,2.6947327569359913e-05,0.00537109375,0.5788266062736511,0.3379313349723816,0.1622268557548523,0.0,0.04202941060066223,1.2212421296453613e-08,0.04482654482126236,12952.8447265625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-18-24/model_1850.pt
model_1899.pt,1899,1899,1899,0.000244140625,1.0,0.904052734375,0.205322265625,0.84521484375,0.989990234375,0.8017578125,0.84521484375,0.84521484375,1.0,0.822265625,0.822021484375,0.000244140625,0.055419921875,0.09778448939323425,0.0707734227180481,0.0707734227180481,0.03820985555648804,0.028537370264530182,0.05853736773133278,0.033015333116054535,0.9051268100738525,0.9051268100738525,0.9051268100738525,0.0,0.9921875,0.7879177331924438,0.565410852432251,0.6283928751945496,0.0005127209005877376,0.20052725076675415,2.943205072369892e-05,0.00439453125,0.5748062133789062,0.4410823583602905,0.1961412876844406,0.0,0.04359664022922516,1.4130330683315151e-08,0.04538075998425484,15393.998046875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-18-24/model_1899.pt
