checkpoint,iteration,target_step,nearest_success_step,success_rate,pregrasp_success_rate,mean_pregrasp_distance,mean_touch_target_distance,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_insertion_progress,min_distance,mean_reward,path
model_0.pt,0,0,0,0.0,0.0,0.42110955715179443,0.44906434416770935,0.4787222445011139,0.30586227774620056,0.767093300819397,,,,,0.417516827583313,6.164801597595215,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-55-06/model_0.pt
model_50.pt,50,50,50,0.0,0.0,0.37253648042678833,0.38569360971450806,0.4023389518260956,0.35158851742744446,0.9192752838134766,,,,,0.362274706363678,275.4875793457031,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-55-06/model_50.pt
model_100.pt,100,100,100,0.0,0.0,0.3713880479335785,0.38517433404922485,0.40246278047561646,0.33612897992134094,0.8707829713821411,,,,,0.3163239061832428,313.9006652832031,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-55-06/model_100.pt
model_150.pt,150,150,150,0.0,0.0,0.35884788632392883,0.37898704409599304,0.40209248661994934,0.31441518664360046,0.9586721658706665,,,,,0.33806586265563965,315.90460205078125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-55-06/model_150.pt
model_200.pt,200,200,200,0.0,0.0,0.32855069637298584,0.3419138789176941,0.35927557945251465,0.3143717348575592,0.958552360534668,,,,,0.3046923279762268,320.8280334472656,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-55-06/model_200.pt
model_250.pt,250,250,250,0.0,0.0,0.35707974433898926,0.37020692229270935,0.3870716392993927,0.33197158575057983,0.7767131924629211,,,,,0.28893423080444336,335.9380798339844,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-55-06/model_250.pt
model_299.pt,299,299,299,0.0,0.0,0.3154694437980652,0.32462000846862793,0.33829283714294434,0.307874470949173,0.8672504425048828,,,,,0.2811233699321747,295.7084045410156,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_15-55-06/model_299.pt
