checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,stage1_latched_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_latched_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_latched_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_stage4_time_pressure,mean_stage3_time_preserve,mean_terminal_success_quality,mean_near_terminal_reward,mean_stage_latch_reward,mean_progressive_stage_weight,mean_moving_pregrasp_fraction,moving_pregrasp_final_rate,moving_pregrasp_step_ready_rate,mean_moving_pregrasp_hold_progress,mean_moving_pregrasp_reward,mean_final_insertion_reward,mean_pregrasp_line_error,min_distance,mean_reward,path
model_1900.pt,1900,1900,1900,0.003662109375,0.987060546875,0.987060546875,0.581787109375,0.103759765625,0.319091796875,0.94287109375,0.26220703125,0.319091796875,0.319091796875,0.319091796875,0.987060546875,0.312744140625,0.319091796875,0.124755859375,0.003662109375,0.044921875,0.11168499290943146,0.0859382152557373,0.0859382152557373,0.06595929712057114,0.06595929712057114,0.06595929712057114,0.04917170852422714,0.902462899684906,0.902462899684906,0.902462899684906,0.0,0.9946558475494385,0.6231973767280579,0.6231973767280579,0.5790560245513916,0.0009527567308396101,0.7059027552604675,4.6800523705314845e-05,0.00732421875,0.39033281803131104,0.11114665120840073,0.010886982083320618,0.0,0.04455254226922989,0.21943095326423645,1.0218634605407715,0.0007812500116415322,0.0,0.0029296875,0.00146484375,0.00036304802051745355,0.0,1.3878078242157699e-08,0.04363471269607544,1612.2305908203125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-31-41/model_1900.pt
model_1950.pt,1950,1950,1950,0.000244140625,0.9873046875,0.9873046875,0.591796875,0.139892578125,0.72314453125,0.982421875,0.499755859375,0.72314453125,0.72314453125,0.72314453125,0.9873046875,0.669189453125,0.72314453125,0.311767578125,0.000244140625,0.148681640625,0.10739263892173767,0.08224612474441528,0.08224612474441528,0.06416155397891998,0.06416155397891998,0.06416155397891998,0.04669167846441269,0.9005014300346375,0.9005014300346375,0.9005014300346375,0.0,0.9807486534118652,0.6211310625076294,0.6211310625076294,0.70050048828125,0.00048688187962397933,0.3187320828437805,2.621314888529014e-05,0.00537109375,0.3618028163909912,0.3909326195716858,0.04213167354464531,0.0,0.06562553346157074,0.2500546872615814,1.0522353649139404,0.03300781175494194,0.00830078125,0.001220703125,0.00067138671875,0.002803442068397999,0.0004247727047186345,1.3753751915146495e-08,0.04572472348809242,8136.0283203125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-31-41/model_1950.pt
model_2000.pt,2000,2000,2000,0.0,0.985107421875,0.985107421875,0.699462890625,0.31494140625,0.781494140625,0.9736328125,0.59716796875,0.781494140625,0.781494140625,0.781494140625,0.985107421875,0.6650390625,0.781494140625,0.188720703125,0.0,0.107421875,0.10057669878005981,0.07684063911437988,0.07684063911437988,0.06792884320020676,0.06792884320020676,0.06792884320020676,0.045903097838163376,0.8964592218399048,0.8964592218399048,0.8964592218399048,0.0,0.9583969116210938,0.5571549534797668,0.5571549534797668,0.6878879070281982,0.0006746766739524901,0.26594239473342896,1.785640233720187e-05,0.00341796875,0.3976439833641052,0.36652183532714844,0.03931491822004318,0.0,0.04226261004805565,0.2660316824913025,1.052451491355896,0.08041992038488388,0.046630859375,0.00927734375,0.004638671875,0.010126090608537197,0.0006040165899321437,1.1331572125072853e-08,0.03981174901127815,9310.9345703125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-31-41/model_2000.pt
model_2050.pt,2050,2050,2050,0.000244140625,0.993896484375,0.993896484375,0.790771484375,0.29833984375,0.82763671875,0.988037109375,0.718017578125,0.82763671875,0.82763671875,0.82763671875,0.993896484375,0.791259765625,0.827392578125,0.388671875,0.000244140625,0.078857421875,0.09823538362979889,0.07262608408927917,0.07262608408927917,0.0606064647436142,0.0606064647436142,0.0606064647436142,0.037158504128456116,0.8973224759101868,0.8973224759101868,0.8973224759101868,0.0,0.9712445735931396,0.5601928234100342,0.5601928234100342,0.6789981126785278,0.0007391554536297917,0.2219856083393097,3.274132905062288e-05,0.005859375,0.4982658624649048,0.40979576110839844,0.06504800915718079,0.0,0.14944395422935486,0.29868143796920776,1.0775625705718994,0.03583984076976776,0.0234375,0.001220703125,0.00067138671875,0.007221696898341179,0.0,1.2504499657950419e-08,0.038345761597156525,10716.328125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-31-41/model_2050.pt
model_2100.pt,2100,2100,2100,0.000244140625,0.996337890625,0.996337890625,0.81494140625,0.35205078125,0.891845703125,0.996337890625,0.755615234375,0.891845703125,0.891845703125,0.891845703125,0.996337890625,0.849609375,0.891845703125,0.315673828125,0.000244140625,0.07666015625,0.09649670124053955,0.0706396996974945,0.0706396996974945,0.06156041473150253,0.06156041473150253,0.06156041473150253,0.03681820631027222,0.9028548002243042,0.9028548002243042,0.9028548002243042,0.0,0.9803950786590576,0.5554502010345459,0.5554502010345459,0.6803627014160156,0.0009488031500950456,0.16212120652198792,2.585322545201052e-05,0.005615234375,0.4955047070980072,0.45587974786758423,0.06450916826725006,0.0,0.0915495753288269,0.2980523109436035,1.0769546031951904,0.03022461012005806,0.01904296875,0.0068359375,0.00469970703125,0.0064284526742994785,0.00032534520141780376,1.3265939458051434e-08,0.035465389490127563,11025.2578125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-31-41/model_2100.pt
model_2150.pt,2150,2150,2150,0.00146484375,1.0,1.0,0.79052734375,0.288818359375,0.800048828125,0.987060546875,0.7060546875,0.800048828125,0.800048828125,0.800048828125,1.0,0.76123046875,0.800048828125,0.354736328125,0.00146484375,0.058837890625,0.09808304905891418,0.0723133385181427,0.0723133385181427,0.060785796493291855,0.060785796493291855,0.060785796493291855,0.037431687116622925,0.9095084071159363,0.9095084071159363,0.9095084071159363,0.0,0.9790393710136414,0.5620730519294739,0.5620730519294739,0.6564297676086426,0.0006407909677363932,0.24677756428718567,3.1642470275983214e-05,0.006591796875,0.501365065574646,0.3911783993244171,0.062205322086811066,0.0,0.1534392237663269,0.3027019798755646,1.0753849744796753,0.03242187574505806,0.010986328125,0.009033203125,0.0064697265625,0.008580420166254044,0.0,1.191316734150405e-08,0.03150507062673569,10454.8447265625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-31-41/model_2150.pt
model_2198.pt,2198,2198,2198,0.001708984375,0.998046875,0.998046875,0.81787109375,0.31689453125,0.765869140625,0.998046875,0.6748046875,0.765869140625,0.765869140625,0.765869140625,0.998046875,0.7119140625,0.765869140625,0.29443359375,0.001708984375,0.05224609375,0.0952494889497757,0.06978170573711395,0.06978170573711395,0.059685006737709045,0.059685006737709045,0.059685006737709045,0.03461447358131409,0.911870002746582,0.911870002746582,0.911870002746582,0.0,0.9665120244026184,0.5465590953826904,0.5465590953826904,0.6454004049301147,0.00047378678573295474,0.2802159786224365,1.969639924936928e-05,0.003173828125,0.5214617252349854,0.33375245332717896,0.05592075735330582,0.0,0.1303497850894928,0.30540698766708374,1.0719749927520752,0.04033203050494194,0.02880859375,0.013427734375,0.01019287109375,0.011274782009422779,0.0,1.3415576205488833e-08,0.03365334868431091,9717.7890625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-31-41/model_2198.pt
