checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_pregrasp_line_error,min_distance,mean_reward,path
model_950.pt,950,950,950,0.0,0.943359375,0.9443359375,0.450439453125,0.6533203125,0.9453125,0.65283203125,0.6533203125,0.65283203125,0.943359375,0.65283203125,0.652099609375,0.0,0.000244140625,0.10232657939195633,0.07560215145349503,0.07560215145349503,0.04306340217590332,0.03874965384602547,0.06874965131282806,0.028715845197439194,0.8185774087905884,0.8185774087905884,0.8185774087905884,0.0,0.9453125,0.7343518733978271,0.5266457796096802,0.5390738248825073,0.0016439049504697323,0.4046119153499603,0.00016815424896776676,1.3565893297595721e-08,0.038965336978435516,1116.82666015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-03-24/model_950.pt
model_1000.pt,1000,1000,1000,0.00048828125,0.974609375,0.751953125,0.06201171875,0.5634765625,0.9609375,0.50732421875,0.5634765625,0.5634765625,0.974609375,0.5634765625,0.5634765625,0.00048828125,0.30517578125,0.10874570906162262,0.08182771503925323,0.08182771503925323,0.037824857980012894,0.02641206979751587,0.056412070989608765,0.030586857348680496,0.8863221406936646,0.8863221406936646,0.8863221406936646,0.0,0.9609375,0.8739804625511169,0.6335029602050781,0.6218535900115967,0.0005572818918153644,0.462832510471344,4.512789018917829e-05,1.341537902987966e-08,0.035805173218250275,13034.189453125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-03-24/model_1000.pt
model_1050.pt,1050,1050,1050,0.00048828125,0.98876953125,0.396484375,0.05078125,0.54150390625,0.8564453125,0.284423828125,0.54150390625,0.54150390625,0.98876953125,0.49169921875,0.489990234375,0.00048828125,0.30517578125,0.12076734006404877,0.09351515769958496,0.09351515769958496,0.04567721486091614,0.025638168677687645,0.05563817173242569,0.04071807861328125,0.9306895136833191,0.9306895136833191,0.9306895136833191,0.0,0.9827154874801636,0.9192913174629211,0.7410922050476074,0.6753201484680176,0.0007779962616041303,0.4839065372943878,4.5786779082845896e-05,1.4840213502509414e-08,0.03397011011838913,11344.86328125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-03-24/model_1050.pt
model_1100.pt,1100,1100,1100,0.0,0.99560546875,0.36962890625,0.029296875,0.521484375,0.77001953125,0.21533203125,0.521484375,0.5185546875,0.99560546875,0.39794921875,0.39599609375,0.0,0.24462890625,0.12423437833786011,0.09714445471763611,0.09714445471763611,0.04965578764677048,0.02606550231575966,0.05605171620845795,0.044505972415208817,0.9161911606788635,0.9161911606788635,0.9161911606788635,0.0,1.0,0.9252910017967224,0.7701965570449829,0.6958708763122559,0.0005221564788371325,0.5029231309890747,1.8880677089327946e-05,1.4293983774393837e-08,0.031509045511484146,8894.62890625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-03-24/model_1100.pt
model_1150.pt,1150,1150,1150,0.000244140625,0.934326171875,0.451904296875,0.227294921875,0.719482421875,0.802978515625,0.3818359375,0.719482421875,0.67236328125,0.934326171875,0.54833984375,0.489013671875,0.000244140625,0.228759765625,0.12040545791387558,0.09564602375030518,0.09564602375030518,0.061530523002147675,0.04286259040236473,0.07286259531974792,0.05200192332267761,0.8638234734535217,0.8638234734535217,0.8638234734535217,0.0,0.9675574898719788,0.7875078916549683,0.6413201093673706,0.6571199893951416,0.000572734628804028,0.31466272473335266,3.6834720958722755e-05,1.3286322264605133e-08,0.036893293261528015,11708.4970703125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-03-24/model_1150.pt
model_1200.pt,1200,1200,1200,0.0,0.964599609375,0.712646484375,0.4365234375,0.90576171875,0.82666015625,0.61962890625,0.90576171875,0.878173828125,0.964599609375,0.63134765625,0.449951171875,0.0,0.125732421875,0.10598939657211304,0.09108661860227585,0.09108661860227585,0.09058137238025665,0.08253637701272964,0.11253637820482254,0.05310578644275665,0.9042978286743164,0.9042978286743164,0.9042978286743164,0.0,0.7618471384048462,0.5055918097496033,0.372256875038147,0.6496198177337646,0.00021459197159856558,0.14174088835716248,1.743011671351269e-05,1.37459750249036e-08,0.038513313978910446,11663.0947265625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-03-24/model_1200.pt
model_1249.pt,1249,1249,1249,0.000244140625,0.978271484375,0.903564453125,0.066650390625,0.744140625,0.9755859375,0.713623046875,0.744140625,0.744140625,0.978271484375,0.744140625,0.743896484375,0.000244140625,0.264892578125,0.10580159723758698,0.07829289138317108,0.07829289138317108,0.03580392152070999,0.026145214214920998,0.056145213544368744,0.030307872220873833,0.8916689157485962,0.8916689157485962,0.8916689157485962,0.0,0.9784697890281677,0.8524445295333862,0.6130448579788208,0.6594560146331787,0.0006966536166146398,0.2898886799812317,6.049043804523535e-05,1.3503495210898109e-08,0.03411655128002167,16830.7421875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-03-24/model_1249.pt
