checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,stage1_latched_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_latched_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_latched_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_stage4_time_pressure,mean_stage3_time_preserve,mean_terminal_success_quality,mean_near_terminal_reward,mean_stage_latch_reward,mean_progressive_stage_weight,mean_moving_pregrasp_fraction,moving_pregrasp_final_rate,moving_pregrasp_step_ready_rate,mean_moving_pregrasp_hold_progress,mean_moving_pregrasp_reward,mean_moving_pregrasp_funnel_reward,mean_moving_pregrasp_exp_reward,mean_moving_pregrasp_shell_improvement,mean_best_moving_pregrasp_distance,mean_final_insertion_reward,mean_pregrasp_line_error,min_distance,mean_reward,path
model_1900.pt,1900,1900,1900,0.003662109375,0.987060546875,0.987060546875,0.581787109375,0.103759765625,0.319091796875,0.94287109375,0.26220703125,0.319091796875,0.319091796875,0.319091796875,0.987060546875,0.312744140625,0.319091796875,0.124755859375,0.003662109375,0.044921875,0.11168499290943146,0.0859382152557373,0.0859382152557373,0.06595929712057114,0.06595929712057114,0.06595929712057114,0.04917170852422714,0.902462899684906,0.902462899684906,0.902462899684906,0.0,0.9946558475494385,0.6231973767280579,0.6231973767280579,0.5790560245513916,0.0009527567308396101,0.7059027552604675,4.6800523705314845e-05,0.00732421875,0.39033281803131104,0.11114665120840073,0.010886982083320618,0.0,0.04455254226922989,0.21943095326423645,1.0218634605407715,0.0007812500116415322,0.0,0.0029296875,0.00146484375,0.00036304802051745355,0.0008425009436905384,0.01798281818628311,0.01025390625,0.7060657739639282,0.0,1.3878078242157699e-08,0.04363471269607544,1612.2305908203125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-57-15/model_1900.pt
model_1950.pt,1950,1950,1950,0.000244140625,1.0,1.0,0.682373046875,0.089599609375,0.680419921875,0.9921875,0.509033203125,0.680419921875,0.680419921875,0.680419921875,1.0,0.652587890625,0.680419921875,0.3076171875,0.000244140625,0.091796875,0.10495036840438843,0.07906046509742737,0.07906046509742737,0.06157654523849487,0.06157654523849487,0.06157654523849487,0.04464825242757797,0.8984169363975525,0.8984169363975525,0.8984169363975525,0.0,0.9973931312561035,0.6138428449630737,0.6138428449630737,0.669838011264801,0.0008422912796959281,0.3589845597743988,2.1352974727051333e-05,0.004150390625,0.36029696464538574,0.3292277157306671,0.031330253928899765,0.0,0.045810483396053314,0.24237462878227234,1.0480279922485352,0.015625,0.0,0.0,0.0,0.0008216457208618522,0.0011600205907598138,0.01592453196644783,0.00244140625,0.35779106616973877,0.0,1.3211141514091196e-08,0.04578259587287903,6775.7080078125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-57-15/model_1950.pt
model_2000.pt,2000,2000,2000,0.00048828125,0.99853515625,0.99853515625,0.794677734375,0.3818359375,0.853515625,0.983642578125,0.7294921875,0.853515625,0.853515625,0.853515625,0.99853515625,0.749755859375,0.853515625,0.2958984375,0.00048828125,0.084228515625,0.09554559737443924,0.07148120552301407,0.07148120552301407,0.06405659765005112,0.06405659765005112,0.06405659765005112,0.04320773482322693,0.904507040977478,0.904507040977478,0.904507040977478,0.0,0.9900425672531128,0.5483426451683044,0.5483426451683044,0.6894567012786865,0.0008431212045252323,0.19593480229377747,1.675873136264272e-05,0.003173828125,0.4103842079639435,0.41797447204589844,0.04939737170934677,0.0,0.06891196966171265,0.2753470838069916,1.0614454746246338,0.10493164509534836,0.0,0.0068359375,0.00335693359375,0.008706774562597275,0.011003837920725346,0.04801877215504646,0.009033203125,0.19021394848823547,0.0,1.3530876863399044e-08,0.04927852004766464,8851.3662109375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-57-15/model_2000.pt
model_2050.pt,2050,2050,2050,0.0,0.995361328125,0.995361328125,0.711669921875,0.25537109375,0.79150390625,0.9912109375,0.6513671875,0.79150390625,0.79150390625,0.79150390625,0.995361328125,0.735595703125,0.79150390625,0.398681640625,0.0,0.088623046875,0.10009931027889252,0.07469673454761505,0.07469673454761505,0.06062106788158417,0.06062106788158417,0.06062106788158417,0.03990255296230316,0.907296895980835,0.907296895980835,0.907296895980835,0.0,0.9872845411300659,0.5812554359436035,0.5812554359436035,0.6823119521141052,0.0003064282063860446,0.2529169023036957,1.4926871699572075e-05,0.002197265625,0.45235446095466614,0.4242740869522095,0.06191179156303406,0.0,0.12698350846767426,0.2851102948188782,1.0698423385620117,0.05307617783546448,0.0,0.003662109375,0.0018310546875,0.0056037288159132,0.0070986817590892315,0.037537652999162674,0.006591796875,0.24940504133701324,0.0,1.4710519025129543e-08,0.04503684863448143,9009.0087890625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-57-15/model_2050.pt
model_2100.pt,2100,2100,2100,0.00146484375,0.99462890625,0.99462890625,0.876708984375,0.39599609375,0.9013671875,0.9921875,0.813232421875,0.9013671875,0.9013671875,0.9013671875,0.99462890625,0.798583984375,0.9013671875,0.33544921875,0.000732421875,0.0625,0.08975711464881897,0.06631267070770264,0.06631267070770264,0.06119658797979355,0.06119658797979355,0.06119658797979355,0.03371891379356384,0.8931593298912048,0.8931593298912048,0.8931593298912048,0.0,0.9298063516616821,0.5126351118087769,0.5126351118087769,0.6706870794296265,0.0006754437927156687,0.15122580528259277,3.433509118622169e-05,0.006591796875,0.5448245406150818,0.4179638624191284,0.06488483399152756,0.0,0.1171044185757637,0.311629056930542,1.0758857727050781,0.091796875,0.000732421875,0.019287109375,0.00970458984375,0.017786605283617973,0.028603650629520416,0.07414236664772034,0.014892578125,0.15152236819267273,0.0,1.2541551797085049e-08,0.04794745892286301,9380.0361328125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-57-15/model_2100.pt
model_2150.pt,2150,2150,2150,0.0029296875,0.984619140625,0.984619140625,0.92236328125,0.460205078125,0.859375,0.9794921875,0.827392578125,0.859375,0.859375,0.859375,0.984619140625,0.822265625,0.859375,0.30517578125,0.0029296875,0.020751953125,0.09335565567016602,0.06699223816394806,0.06699223816394806,0.06287064403295517,0.06287064403295517,0.06287064403295517,0.030804280191659927,0.8952118158340454,0.8952118158340454,0.8952118158340454,0.0,0.972108006477356,0.5167561173439026,0.5167561173439026,0.6293425559997559,0.0006300073582679033,0.1907711923122406,3.0221650376915932e-05,0.004638671875,0.630039632320404,0.3874218761920929,0.07934108376502991,0.0,0.1789320707321167,0.33658409118652344,1.0933129787445068,0.02924804762005806,0.0,0.005126953125,0.0025634765625,0.005839758552610874,0.007513306103646755,0.07086877524852753,0.011474609375,0.18672673404216766,0.0,1.3414069854889021e-08,0.04720158874988556,10419.0439453125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-57-15/model_2150.pt
model_2198.pt,2198,2198,2198,0.000732421875,0.98291015625,0.98291015625,0.88671875,0.32275390625,0.818359375,0.9765625,0.7685546875,0.818359375,0.818359375,0.818359375,0.98291015625,0.810546875,0.818359375,0.35693359375,0.000732421875,0.022705078125,0.0984811931848526,0.07144411653280258,0.07144411653280258,0.062099769711494446,0.062099769711494446,0.062099769711494446,0.03416895121335983,0.8833601474761963,0.8833601474761963,0.8833601474761963,0.0,0.9851106405258179,0.5554168224334717,0.5554168224334717,0.6262067556381226,0.0004958215868100524,0.22828197479248047,1.3467444659909233e-05,0.002197265625,0.5826025605201721,0.46384197473526,0.09200088679790497,0.0,0.19419464468955994,0.31709879636764526,1.0899901390075684,0.0048828125,0.0,0.0,0.0,7.448535325238481e-05,0.00016103526286315173,0.04390453174710274,0.005615234375,0.22681759297847748,0.0,1.2287538098121331e-08,0.04631577432155609,11384.8076171875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_15-57-15/model_2198.pt
