region_number,success_count,best_episode_reward,mastered,active
1,23,5631.995117,1,0
2,45,8573.331055,1,0
3,21,7030.876465,1,0
4,53,9929.599609,1,0
5,55,9783.646484,1,0
6,62,9702.693359,1,0
7,20,8178.060059,1,0
8,20,8778.771484,1,0
9,911,13256.540039,1,1
