checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,stage1_latched_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_latched_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_latched_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_stage4_time_pressure,mean_stage3_time_preserve,mean_terminal_success_quality,mean_near_terminal_reward,mean_stage_latch_reward,mean_progressive_stage_weight,mean_pregrasp_line_error,min_distance,mean_reward,path
model_1600.pt,1600,1600,1600,0.013671875,0.941162109375,0.941162109375,0.833740234375,0.19873046875,0.37158203125,0.94189453125,0.338134765625,0.37158203125,0.37158203125,0.37158203125,0.941162109375,0.35986328125,0.37158203125,0.3564453125,0.013671875,0.044189453125,0.10935408622026443,0.08359281718730927,0.08359281718730927,0.049061864614486694,0.04008273407816887,0.07008273899555206,0.03828682750463486,0.8333340287208557,0.8333340287208557,0.8333340287208557,0.0,0.94189453125,0.7892683744430542,0.5666497945785522,0.5496145486831665,0.002822721842676401,0.6730614304542542,0.00023376769968308508,0.040771484375,0.6094434261322021,0.13289549946784973,0.07410618662834167,0.0,0.03383587673306465,0.330735445022583,1.0618454217910767,1.3428857137398609e-08,0.037372179329395294,1731.4957275390625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-36-12/model_1600.pt
model_1650.pt,1650,1650,1650,0.0009765625,0.9765625,0.9765625,0.841796875,0.220458984375,0.671142578125,0.967529296875,0.624755859375,0.671142578125,0.671142578125,0.671142578125,0.9765625,0.652099609375,0.671142578125,0.652099609375,0.0009765625,0.064453125,0.10383932292461395,0.07670880109071732,0.07670880109071732,0.04111248999834061,0.03125618025660515,0.061256177723407745,0.0344730019569397,0.9012838006019592,0.9012838006019592,0.9012838006019592,0.0,0.9765625,0.8150328993797302,0.5866469144821167,0.6131200194358826,0.0005142135778442025,0.3640591502189636,2.811741069308482e-05,0.00439453125,0.6197224259376526,0.2831876873970032,0.1543196141719818,0.0,0.052956972271203995,0.48950982093811035,1.2089900970458984,1.2824426853796922e-08,0.04154752939939499,12370.6455078125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-36-12/model_1650.pt
model_1700.pt,1700,1700,1700,0.0,0.9853515625,0.9921875,0.860107421875,0.090576171875,0.640380859375,0.96875,0.615234375,0.640380859375,0.640380859375,0.640380859375,0.9853515625,0.640380859375,0.640380859375,0.640380859375,0.0,0.068359375,0.10475771129131317,0.07803674042224884,0.07803674042224884,0.042862433940172195,0.032121673226356506,0.0621216744184494,0.03738497197628021,0.8880829811096191,0.8880829811096191,0.8880829811096191,0.0,0.9731512665748596,0.8139657974243164,0.5845056772232056,0.6057642698287964,0.0001704234746284783,0.39292556047439575,1.5212786820484325e-05,0.001708984375,0.5740711092948914,0.31839519739151,0.14966754615306854,0.0,0.029919788241386414,0.43544942140579224,1.1902596950531006,1.2776556701510344e-08,0.04518556594848633,12604.1328125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-36-12/model_1700.pt
model_1750.pt,1750,1750,1750,0.0,0.996337890625,0.996337890625,0.879150390625,0.2099609375,0.72802734375,0.9921875,0.687255859375,0.72802734375,0.72802734375,0.72802734375,0.996337890625,0.7275390625,0.72802734375,0.725341796875,0.0,0.096435546875,0.0992811918258667,0.07166868448257446,0.07166868448257446,0.03675161674618721,0.026150919497013092,0.05615092068910599,0.0324067622423172,0.8941872119903564,0.8941872119903564,0.8941872119903564,0.0,0.9995476007461548,0.8189973831176758,0.58760666847229,0.6289759278297424,0.0005089258775115013,0.3113909959793091,2.885793219320476e-05,0.006103515625,0.5735602378845215,0.446368008852005,0.19238021969795227,0.0,0.008150930516421795,0.44903022050857544,1.1987911462783813,1.334592170110227e-08,0.044117338955402374,13230.8076171875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-36-12/model_1750.pt
model_1800.pt,1800,1800,1800,0.00048828125,0.99560546875,0.99560546875,0.927978515625,0.249755859375,0.79833984375,0.983154296875,0.771240234375,0.79833984375,0.79833984375,0.79833984375,0.99560546875,0.795654296875,0.79833984375,0.794677734375,0.00048828125,0.0751953125,0.0976305603981018,0.06977716088294983,0.06977716088294983,0.03419902175664902,0.025522077456116676,0.05552207678556442,0.028704391792416573,0.9040926694869995,0.9040926694869995,0.9040926694869995,0.0,0.9947521686553955,0.8005878329277039,0.5742883682250977,0.623165488243103,0.0007022629724815488,0.24310649931430817,3.8515168853336945e-05,0.0078125,0.6548022627830505,0.3571411371231079,0.18879234790802002,0.0,0.05441931635141373,0.5389735698699951,1.2483839988708496,1.0866530786302064e-08,0.045348890125751495,16166.646484375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-36-12/model_1800.pt
model_1850.pt,1850,1850,1850,0.0,0.984375,0.984375,0.94873046875,0.343994140625,0.86474609375,0.984375,0.845458984375,0.86474609375,0.86474609375,0.86474609375,0.984375,0.860107421875,0.86474609375,0.860107421875,0.0,0.031982421875,0.09647537767887115,0.06879870593547821,0.06879870593547821,0.03612249344587326,0.028468305245041847,0.058468304574489594,0.02862805500626564,0.8825780749320984,0.8825780749320984,0.8825780749320984,0.0,0.984375,0.7729387879371643,0.5543512105941772,0.6095744371414185,0.00035247032064944506,0.1801539957523346,2.6767480449052528e-05,0.005615234375,0.6625370979309082,0.4122534394264221,0.21404093503952026,0.0,0.02223901078104973,0.5638342499732971,1.2647826671600342,1.3126646436489864e-08,0.044707074761390686,16677.564453125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-36-12/model_1850.pt
model_1899.pt,1899,1899,1899,0.000244140625,0.9765625,0.9765625,0.92333984375,0.274169921875,0.864013671875,0.972900390625,0.81787109375,0.864013671875,0.864013671875,0.864013671875,0.9765625,0.8095703125,0.856201171875,0.80615234375,0.000244140625,0.01171875,0.09945109486579895,0.07282447814941406,0.07282447814941406,0.04187275469303131,0.03387366235256195,0.06387366354465485,0.03434385359287262,0.8913602828979492,0.8913602828979492,0.8913602828979492,0.0,0.9738643169403076,0.75542151927948,0.5417561531066895,0.599801778793335,0.000268035801127553,0.18891417980194092,1.6659145330777392e-05,0.003662109375,0.6186186671257019,0.4490486681461334,0.23304840922355652,0.0,0.03286948427557945,0.5362159013748169,1.2476553916931152,1.3010367005961143e-08,0.044978924095630646,15897.5341796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-36-12/model_1899.pt
