checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_stage4_time_pressure,mean_pregrasp_line_error,min_distance,mean_reward,path
model_1600.pt,1600,1600,1600,0.028564453125,0.9296875,0.85400390625,0.12158203125,0.135009765625,0.931640625,0.131591796875,0.135009765625,0.135009765625,0.9296875,0.134033203125,0.13330078125,0.041259765625,0.00390625,0.11250796914100647,0.0871080532670021,0.0871080532670021,0.05096203833818436,0.04203496128320694,0.07203495502471924,0.03965012729167938,0.8191870450973511,0.8191870450973511,0.8191870450973511,0.0,0.931640625,0.7958601117134094,0.5714872479438782,0.538770854473114,0.0009508461807854474,0.9020024538040161,9.077033610083163e-05,0.010986328125,0.6061863899230957,0.02960856258869171,1.4259404323979652e-08,0.03599186986684799,506.5901184082031,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-49-56/model_1600.pt
model_1650.pt,1650,1650,1650,0.00341796875,0.979736328125,0.684326171875,0.017333984375,0.10107421875,0.975830078125,0.047119140625,0.10107421875,0.10107421875,0.979736328125,0.06591796875,0.06591796875,0.00390625,0.01416015625,0.10922965407371521,0.08379490673542023,0.08379490673542023,0.05007273703813553,0.036176398396492004,0.0661763995885849,0.04613511264324188,0.8803398609161377,0.8803398609161377,0.8803398609161377,0.0,0.9780329465866089,0.8390774726867676,0.6018667221069336,0.5706782937049866,0.00029404822271317244,0.908527135848999,2.076893360936083e-05,0.00341796875,0.4153975546360016,0.02229980379343033,1.293905693700026e-08,0.0400475412607193,1307.412109375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-49-56/model_1650.pt
model_1700.pt,1700,1700,1700,0.00244140625,0.964111328125,0.813232421875,0.0224609375,0.255126953125,0.94921875,0.206787109375,0.255126953125,0.255126953125,0.964111328125,0.19384765625,0.193603515625,0.0029296875,0.0,0.10961995273828506,0.08665018528699875,0.08665018528699875,0.06456398963928223,0.05141346901655197,0.08141347020864487,0.05786627531051636,0.8704773187637329,0.8704773187637329,0.8704773187637329,0.0,0.961669921875,0.7289308309555054,0.5227581262588501,0.5401679873466492,0.0001818174496293068,0.7626412510871887,1.1594637726375367e-05,0.001708984375,0.3011139929294586,0.07451660186052322,1.3959384759232307e-08,0.04235708713531494,2293.48291015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-49-56/model_1700.pt
model_1750.pt,1750,1750,1750,0.000732421875,0.983642578125,0.97314453125,0.492919921875,0.790771484375,0.99267578125,0.77001953125,0.790771484375,0.779296875,0.983642578125,0.76806640625,0.732666015625,0.001220703125,0.0,0.09239518642425537,0.06643041223287582,0.06643041223287582,0.04590559005737305,0.03685910999774933,0.06685911118984222,0.0379968136548996,0.8624764680862427,0.8624764680862427,0.8624764680862427,0.0,0.9951171875,0.6949031949043274,0.4983549118041992,0.5840991139411926,8.683062333147973e-05,0.2578432261943817,5.837649950990453e-06,0.000732421875,0.47032976150512695,0.4044059216976166,1.2652870751139744e-08,0.04680857062339783,8098.31591796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-49-56/model_1750.pt
model_1800.pt,1800,1800,1800,0.000732421875,0.994140625,0.95068359375,0.747314453125,0.91796875,0.9970703125,0.88916015625,0.91796875,0.915771484375,0.994140625,0.899658203125,0.64697265625,0.001220703125,0.002685546875,0.08314408361911774,0.05551972985267639,0.05551972985267639,0.041325487196445465,0.03629152104258537,0.06629151850938797,0.024701885879039764,0.875097393989563,0.875097393989563,0.875097393989563,0.0,0.9970703125,0.6269671320915222,0.44963404536247253,0.5603179335594177,0.0002390362205915153,0.1428929567337036,2.5940200430341065e-05,0.004150390625,0.6750887632369995,0.4410807192325592,1.4427984140752415e-08,0.04775157570838928,10268.4736328125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-49-56/model_1800.pt
model_1850.pt,1850,1850,1850,0.001220703125,0.95458984375,0.956787109375,0.762451171875,0.933349609375,0.9765625,0.887939453125,0.933349609375,0.90869140625,0.95458984375,0.896728515625,0.578125,0.001953125,0.004150390625,0.08466073870658875,0.0576866939663887,0.0576866939663887,0.04675516486167908,0.04178266227245331,0.0717826634645462,0.028963133692741394,0.8460675477981567,0.8460675477981567,0.8460675477981567,0.0,0.9847559928894043,0.5948382616043091,0.42659562826156616,0.5460013747215271,0.00013949963613413274,0.12601244449615479,1.0665104127838276e-05,0.00146484375,0.656386137008667,0.4338427782058716,1.3093112372075666e-08,0.04961465299129486,9921.271484375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-49-56/model_1850.pt
model_1899.pt,1899,1899,1899,0.00048828125,0.982421875,0.9833984375,0.819580078125,0.958251953125,0.99853515625,0.92822265625,0.958251953125,0.940673828125,0.982421875,0.927978515625,0.470703125,0.0009765625,0.0,0.07797154784202576,0.05022883042693138,0.05022883042693138,0.04255964979529381,0.03856518864631653,0.06856518983840942,0.022706374526023865,0.8684723377227783,0.8684723377227783,0.8684723377227783,0.0,1.0,0.5715957880020142,0.40992406010627747,0.5527903437614441,0.00025316845858469605,0.10186454653739929,9.484278962190729e-06,0.00146484375,0.6982135772705078,0.5000952482223511,1.1170289582196347e-08,0.05087638273835182,11047.4248046875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_13-49-56/model_1899.pt
