checkpoint,iteration,target_step,nearest_success_step,success_rate,pregrasp_success_rate,mean_pregrasp_distance,mean_touch_target_distance,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_insertion_progress,min_distance,mean_reward,path
model_0.pt,0,0,0,0.0,0.0,0.3474930226802826,0.37656494975090027,0.4074852466583252,0.24360144138336182,-0.5544142723083496,0.764543890953064,-0.5544142723083496,0.0,0.0,0.34850603342056274,0.5274019241333008,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-23-50/model_0.pt
model_50.pt,50,50,50,0.0,0.0,0.3351207375526428,0.33763569593429565,0.34314364194869995,0.25320255756378174,0.7361035346984863,-0.4142475724220276,0.7361035346984863,0.0,0.4411720037460327,0.21194487810134888,828.7234497070312,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-23-50/model_50.pt
model_100.pt,100,100,100,0.0,0.0,0.2047930508852005,0.19832593202590942,0.19986121356487274,0.1823001503944397,0.7440834045410156,0.33560991287231445,0.7440834045410156,0.0,0.7224889993667603,0.10015831887722015,1289.3067626953125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-23-50/model_100.pt
model_150.pt,150,150,150,0.0,0.0,0.16365405917167664,0.152370423078537,0.15125450491905212,0.14018438756465912,0.9302160739898682,0.1722913682460785,0.9302160739898682,0.0,0.8246908187866211,0.07332572340965271,1611.000732421875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-23-50/model_150.pt
model_200.pt,200,200,200,0.0,0.0,0.15324579179286957,0.14687496423721313,0.15140493214130402,0.14555199444293976,0.9693752527236938,0.29274290800094604,0.9693752527236938,0.0,0.8634967803955078,0.09993132948875427,1607.2362060546875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-23-50/model_200.pt
model_250.pt,250,250,250,0.0,0.0,0.17800530791282654,0.177122563123703,0.18520914018154144,0.1655210554599762,0.8375918865203857,0.39954403042793274,0.8375918865203857,0.0,0.5357698202133179,0.11387501657009125,1581.55859375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-23-50/model_250.pt
model_299.pt,299,299,299,0.0,0.0,0.1780897080898285,0.1707751303911209,0.1731295883655548,0.1651395708322525,0.8943178653717041,0.283977746963501,0.8943178653717041,0.0,0.8328174948692322,0.0988224595785141,1550.7158203125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-23-50/model_299.pt
