region_number,success_count,best_episode_reward,mastered,active
1,5,2086.467285,1,0
2,5,323.819031,1,0
3,5,2589.660645,1,0
4,11,3508.086914,1,0
5,33,239.662872,1,0
6,8,3178.872070,1,0
7,11,3690.524170,1,0
8,2,2838.136963,0,1
9,0,,0,0
