checkpoint,iteration,target_step,nearest_success_step,success_rate,pregrasp_success_rate,mean_pregrasp_distance,mean_touch_target_distance,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_insertion_progress,min_distance,mean_reward,path
model_0.pt,0,0,0,0.0,0.0,0.3474930226802826,0.37656494975090027,0.4074852466583252,0.24360144138336182,0.764543890953064,0.764543890953064,-0.5544142723083496,0.0,0.0,0.34850603342056274,5.091705322265625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-15-09/model_0.pt
model_50.pt,50,50,50,0.0,0.0,0.23516538739204407,0.25040435791015625,0.27103185653686523,0.21077503263950348,0.7323112487792969,0.7323112487792969,-0.5641856789588928,0.0005617759888991714,0.10682851821184158,0.15559259057044983,243.12283325195312,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-15-09/model_50.pt
model_100.pt,100,100,100,0.0,0.0,0.21695581078529358,0.2196551412343979,0.22957858443260193,0.1865328699350357,0.7249077558517456,0.7249077558517456,-0.6278566122055054,0.00010873038263525814,0.5401591062545776,0.10927058756351471,419.40045166015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-15-09/model_100.pt
model_150.pt,150,150,150,0.0,0.0,0.23011580109596252,0.2367565929889679,0.25006338953971863,0.217980295419693,0.6919384002685547,0.6919384002685547,-0.6391900777816772,0.00019379990408197045,0.23784950375556946,0.12692362070083618,478.7473449707031,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-15-09/model_150.pt
model_200.pt,200,200,200,0.0,0.052734375,0.13120007514953613,0.1176752895116806,0.11740054935216904,0.11302033811807632,0.6706182956695557,0.7407506108283997,-0.5937567949295044,0.0004901349893771112,0.9168220162391663,0.056538913398981094,500.38189697265625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-15-09/model_200.pt
model_250.pt,250,250,250,0.0,0.00390625,0.16714295744895935,0.16560086607933044,0.17372643947601318,0.14074452221393585,0.728849470615387,0.7333338260650635,-0.6127696633338928,0.00054905004799366,0.5441923141479492,0.07335399836301804,597.2335205078125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-15-09/model_250.pt
model_299.pt,299,299,299,0.0,0.0,0.160575270652771,0.15313754975795746,0.15636926889419556,0.14509367942810059,0.7391633987426758,0.7391633987426758,-0.5926943421363831,0.0,0.8480956554412842,0.07857184112071991,506.03057861328125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-15-09/model_299.pt
