checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,stage1_latched_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_latched_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_latched_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_stage4_time_pressure,mean_stage3_time_preserve,mean_terminal_success_quality,mean_near_terminal_reward,mean_stage_latch_reward,mean_progressive_stage_weight,mean_moving_pregrasp_fraction,moving_pregrasp_final_rate,mean_moving_pregrasp_reward,mean_final_insertion_reward,mean_pregrasp_line_error,min_distance,mean_reward,path
model_1600.pt,1600,1600,1600,0.018798828125,0.94384765625,0.944580078125,0.836181640625,0.23779296875,0.359619140625,0.9453125,0.3291015625,0.359619140625,0.35888671875,0.359619140625,0.94384765625,0.290283203125,0.359619140625,0.21484375,0.018798828125,0.03125,0.10204832255840302,0.07706747949123383,0.07706747949123383,0.047953903675079346,0.03900476172566414,0.06900475919246674,0.03765407204627991,0.8333975076675415,0.8333975076675415,0.8333975076675415,0.0,0.9411343336105347,0.7204989194869995,0.5111647248268127,0.5410166382789612,0.001494712196290493,0.6878018975257874,0.0002776992623694241,0.048095703125,0.6048051118850708,0.08614583313465118,0.04786735773086548,0.0,0.02619176171720028,0.31631311774253845,0.9900518655776978,0.097412109375,0.124755859375,0.09230536222457886,0.0035710891243070364,1.3604079640572309e-08,0.03757483884692192,984.3217163085938,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-54-32/model_1600.pt
model_1650.pt,1650,1650,1650,0.001708984375,0.984375,0.984375,0.681884765625,0.1162109375,0.384521484375,0.983154296875,0.31640625,0.384521484375,0.384521484375,0.384521484375,0.984375,0.33642578125,0.3837890625,0.2890625,0.001708984375,0.05810546875,0.10574810206890106,0.08067542314529419,0.08067542314529419,0.04868834465742111,0.03444857522845268,0.06444858014583588,0.04452016204595566,0.8951394557952881,0.8951394557952881,0.8951394557952881,0.0,0.9812442064285278,0.8123699426651001,0.5846285820007324,0.5882484912872314,0.00022685476869810373,0.639572262763977,2.308718831045553e-05,0.00341796875,0.431191623210907,0.17253337800502777,0.06373876333236694,0.0,0.010364603251218796,0.28807762265205383,1.0457377433776855,0.0452880859375,0.0625,0.021885424852371216,0.0009115978027693927,1.3384431341023628e-08,0.0420413501560688,5348.56103515625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-54-32/model_1650.pt
model_1700.pt,1700,1700,1700,0.0,0.99365234375,0.99365234375,0.77294921875,0.429931640625,0.743408203125,0.9912109375,0.665771484375,0.743408203125,0.743408203125,0.743408203125,0.99365234375,0.638427734375,0.743408203125,0.59521484375,0.0,0.1669921875,0.09403732419013977,0.0724525973200798,0.0724525973200798,0.054331839084625244,0.035001419484615326,0.06500142812728882,0.05131654441356659,0.9200945496559143,0.9200945496559143,0.9200945496559143,0.0,0.9883279800415039,0.8076942563056946,0.545363187789917,0.6645792722702026,0.0009601551573723555,0.2987750470638275,4.5770408178213984e-05,0.008544921875,0.281610369682312,0.3464575409889221,0.04537647217512131,0.0,0.00610077241435647,0.27390867471694946,1.050417423248291,0.3149658143520355,0.447998046875,0.044788360595703125,0.023154955357313156,1.6050869078299e-08,0.046853043138980865,8187.5400390625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-54-32/model_1700.pt
model_1750.pt,1750,1750,1750,0.0,0.990234375,0.990234375,0.751708984375,0.256591796875,0.700439453125,0.989013671875,0.60693359375,0.700439453125,0.700439453125,0.700439453125,0.990234375,0.673095703125,0.700439453125,0.654296875,0.0,0.192138671875,0.10036453604698181,0.07587060332298279,0.07587060332298279,0.049449220299720764,0.0320931151509285,0.062093112617731094,0.04603094980120659,0.8932514190673828,0.8932514190673828,0.8932514190673828,0.0,0.9902238249778748,0.842568039894104,0.5949329137802124,0.6764839887619019,0.0008790322463028133,0.33939120173454285,5.081893323222175e-05,0.009033203125,0.35636305809020996,0.36910808086395264,0.05978547781705856,0.0,0.009746497496962547,0.28625643253326416,1.0648831129074097,0.15477702021598816,0.21875,0.029180869460105896,0.01529737003147602,1.2802095383790402e-08,0.04357476904988289,11330.875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-54-32/model_1750.pt
model_1800.pt,1800,1800,1800,0.000244140625,0.993896484375,0.993896484375,0.585205078125,0.248291015625,0.615234375,0.9921875,0.45166015625,0.615234375,0.615234375,0.615234375,0.993896484375,0.505615234375,0.615234375,0.491943359375,0.000244140625,0.274658203125,0.10449610650539398,0.08072018623352051,0.08072018623352051,0.05437520891427994,0.031172558665275574,0.06117255985736847,0.05128215253353119,0.910388171672821,0.910388171672821,0.910388171672821,0.0,0.991046667098999,0.9075247645378113,0.6820573806762695,0.734466016292572,0.0009095579152926803,0.4194899797439575,3.0345971026690677e-05,0.005859375,0.27868151664733887,0.27462971210479736,0.031151093542575836,0.0,0.0037931245751678944,0.25145184993743896,1.0476197004318237,0.2581136226654053,0.367431640625,0.023805387318134308,0.022621342912316322,1.554164441586181e-08,0.044995278120040894,7943.5400390625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-54-32/model_1800.pt
model_1850.pt,1850,1850,1850,0.000732421875,0.99755859375,0.99755859375,0.63330078125,0.257568359375,0.644287109375,0.974853515625,0.510498046875,0.644287109375,0.644287109375,0.644287109375,0.99755859375,0.560546875,0.644287109375,0.542236328125,0.000732421875,0.33544921875,0.10233618319034576,0.07881180942058563,0.07881180942058563,0.05262857675552368,0.029108349233865738,0.059108346700668335,0.04890955984592438,0.9193475246429443,0.9193475246429443,0.9193475246429443,0.0,0.9842427372932434,0.8925080299377441,0.6837854385375977,0.7408553957939148,0.001602996839210391,0.3906955122947693,5.2455034165177494e-05,0.01025390625,0.31558656692504883,0.28783124685287476,0.03716405853629112,0.0,0.010242315009236336,0.27036380767822266,1.0557794570922852,0.2891601324081421,0.41064453125,0.039647385478019714,0.028744878247380257,1.4294913697199263e-08,0.046167485415935516,9009.669921875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-54-32/model_1850.pt
model_1899.pt,1899,1899,1899,0.0009765625,0.998291015625,0.998291015625,0.755859375,0.33203125,0.75146484375,0.98828125,0.627197265625,0.75146484375,0.75146484375,0.75146484375,0.998291015625,0.708251953125,0.75146484375,0.682373046875,0.0009765625,0.451416015625,0.09557898342609406,0.07224936038255692,0.07224936038255692,0.05048920214176178,0.02629683166742325,0.056296832859516144,0.04550337791442871,0.919223427772522,0.919223427772522,0.919223427772522,0.0,0.9842690229415894,0.8814101815223694,0.6830252408981323,0.7647878527641296,0.0017658445285633206,0.28969675302505493,6.930319068487734e-05,0.0126953125,0.3536830544471741,0.4085644483566284,0.05405409261584282,0.0,0.03120216354727745,0.29122352600097656,1.0716761350631714,0.38554686307907104,0.548583984375,0.051801688969135284,0.04587549716234207,1.513824621213189e-08,0.04450418800115585,11538.927734375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-54-32/model_1899.pt
