checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,stage4_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_stage4_time_pressure,mean_stage3_time_preserve,mean_terminal_success_quality,mean_pregrasp_line_error,min_distance,mean_reward,path
model_1600.pt,1600,1600,1600,0.01318359375,0.940673828125,0.826171875,0.20458984375,0.3818359375,0.94189453125,0.349853515625,0.3818359375,0.38134765625,0.940673828125,0.374755859375,0.37158203125,0.01318359375,0.05078125,0.1094258651137352,0.0835830420255661,0.0835830420255661,0.04852209985256195,0.039698489010334015,0.06969849020242691,0.037642307579517365,0.8310829401016235,0.8310829401016235,0.8310829401016235,0.0,0.94189453125,0.7913166284561157,0.5685770511627197,0.5495963096618652,0.0028691214974969625,0.6639295816421509,0.0002373337629251182,0.04052734375,0.6180036067962646,0.13207276165485382,0.07407005876302719,0.0,1.3408925525482118e-08,0.03681936115026474,1796.7149658203125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-08-19/model_1600.pt
model_1650.pt,1650,1650,1650,0.000244140625,0.99462890625,0.817626953125,0.27490234375,0.72705078125,0.98974609375,0.696044921875,0.72705078125,0.72705078125,0.99462890625,0.706298828125,0.704833984375,0.000244140625,0.023193359375,0.10028810799121857,0.07324045896530151,0.07324045896530151,0.040004149079322815,0.030101781710982323,0.06010178476572037,0.03428199142217636,0.9023652076721191,0.9023652076721191,0.9023652076721191,0.0,0.9921891689300537,0.802222728729248,0.5758742690086365,0.60414719581604,0.00026229300419799984,0.3097788691520691,2.1992967958794907e-05,0.0048828125,0.5724254846572876,0.3621264696121216,0.18680092692375183,0.0,1.3571737511597348e-08,0.043186187744140625,14047.91015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-08-19/model_1650.pt
model_1700.pt,1700,1700,1700,0.00048828125,0.989501953125,0.905517578125,0.34326171875,0.81787109375,0.96923828125,0.794677734375,0.81787109375,0.81787109375,0.989501953125,0.81201171875,0.81201171875,0.00048828125,0.026611328125,0.09848568588495255,0.07134709507226944,0.07134709507226944,0.039254289120435715,0.031191134825348854,0.0611911341547966,0.0317879244685173,0.8777966499328613,0.8777966499328613,0.8777966499328613,0.0,0.9839785099029541,0.769005298614502,0.552048921585083,0.5964372158050537,0.00020296443835832179,0.22469839453697205,3.1785686587681994e-05,0.00634765625,0.6318532228469849,0.4289737939834595,0.22926008701324463,0.0,1.1494462270889017e-08,0.04419848695397377,14181.55859375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-08-19/model_1700.pt
model_1750.pt,1750,1750,1750,0.0,0.970947265625,0.83154296875,0.282470703125,0.73046875,0.96728515625,0.68212890625,0.73046875,0.73046875,0.970947265625,0.711181640625,0.711181640625,0.0,0.042724609375,0.10409629344940186,0.07790891826152802,0.07790891826152802,0.046298298984766006,0.037198252975940704,0.067198246717453,0.03783112019300461,0.8801332116127014,0.8801332116127014,0.8801332116127014,0.0,0.9700570106506348,0.7749642133712769,0.5559455156326294,0.5918912291526794,0.0002881205000448972,0.3080327808856964,1.585202699061483e-05,0.00244140625,0.5823211669921875,0.3822469115257263,0.20739489793777466,0.0,1.3137666066143083e-08,0.04324132949113846,13556.6240234375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-08-19/model_1750.pt
model_1800.pt,1800,1800,1800,0.0,0.99169921875,0.950927734375,0.4013671875,0.85009765625,0.9921875,0.83447265625,0.85009765625,0.85009765625,0.99169921875,0.8427734375,0.8427734375,0.0,0.011962890625,0.09445565938949585,0.06651339679956436,0.06651339679956436,0.03384430706501007,0.02686198800802231,0.056861985474824905,0.026451125741004944,0.8844715356826782,0.8844715356826782,0.8844715356826782,0.0,0.9936251640319824,0.769039511680603,0.5515551567077637,0.5945019721984863,0.0004771322710439563,0.19670554995536804,4.053834709338844e-05,0.0078125,0.670928955078125,0.4368595480918884,0.2342090606689453,0.0,1.188588782952138e-08,0.045563504099845886,15811.5947265625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-08-19/model_1800.pt
model_1850.pt,1850,1850,1850,0.0,0.988037109375,0.89892578125,0.33203125,0.82373046875,0.97119140625,0.79248046875,0.82373046875,0.82373046875,0.988037109375,0.80810546875,0.804931640625,0.0,0.026611328125,0.09778735041618347,0.07040109485387802,0.07040109485387802,0.03698081523180008,0.029396379366517067,0.05939637869596481,0.030486319214105606,0.882857084274292,0.882857084274292,0.882857084274292,0.0,0.9873548746109009,0.7717471718788147,0.5535943508148193,0.5912797451019287,0.00031995458994060755,0.21944473683834076,2.200180824729614e-05,0.00341796875,0.6530336141586304,0.4218294322490692,0.23992326855659485,0.0,1.281551575971207e-08,0.04605191573500633,16190.2236328125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-08-19/model_1850.pt
model_1899.pt,1899,1899,1899,0.000244140625,0.992919921875,0.875732421875,0.298095703125,0.7412109375,0.986328125,0.704833984375,0.7412109375,0.7412109375,0.992919921875,0.737060546875,0.736083984375,0.000244140625,0.0361328125,0.0983407199382782,0.07072404026985168,0.07072404026985168,0.03595547005534172,0.027222774922847748,0.05722277611494064,0.030167844146490097,0.8834518194198608,0.8834518194198608,0.8834518194198608,0.0,0.9941877722740173,0.8016562461853027,0.5751055479049683,0.5742843151092529,0.0003025547484867275,0.2978978455066681,2.689666871447116e-05,0.004638671875,0.6223495006561279,0.37132731080055237,0.20331256091594696,0.0,1.5173691636505282e-08,0.04454291611909866,15954.390625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_14-08-19/model_1899.pt
